"Place H-ID"	"Place Record Title"	"Place name"	"Place type"	Country	"Location (mappable)"	"Locational certainty"	"GeoNames ID"	"Representative image (thumbnail)"	"Representative image (thumbnail) ID"	"Representative image (thumbnail) Name"	"Representative image (thumbnail) Path"	"Short description"	"Extended description"	"Related file(s) or URLs"	"Related file(s) or URLs ID"	"Related file(s) or URLs Name"	"Related file(s) or URLs Path"	"Locality name"	"Additional (equivalent) names"	"City, town or suburb"	"ADM1 / ADM2 (region, state, county)"	"Date of name record"	"Date of name record (temporal)"	"Start date for named place"	"Start date for named place (temporal)"	"End date for named place"	"End date for named place (temporal)"
3	Propylées	Propylées	édifice	Greece	"POINT(23.7252304 37.97172401)"							autre	destruction					Acropole	Propylées								
25	Parthénon	Parthénon	édifice	Greece	"POINT(23.72662783 37.97149565)"	"1. High confidence"												Acropole	Parthénon								
27	Tyrannoctones	Tyrannoctones	statue	Greece	"POINT(23.7223915 37.9750746)"	"1. High confidence"												Agora	Tyrannoctones								
29	"Odéon de Périclès"	"Odéon de Périclès"	édifice	Greece	"POINT(23.72858852 37.97058009)"	"1. High confidence"												Agora	"Odéon de Périclès"								
40	"Temple d'Athéna Nikè"	"Temple d'Athéna Nikè"	édifice	Greece	"POINT(23.72490853 37.97151891)"	"1. High confidence"												Acropole									
46	Héphaïstéion	Héphaïstéion	édifice	Greece	"POINT(23.72140557 37.9755785)"	"1. High confidence"																					
52	Tholos	Tholos	édifice	Greece	"POINT(23.72205734 37.9749146)"	"1. High confidence"																					
58	"Vieux Bouleutérion"	"Vieux Bouleutérion"	édifice	Greece	"POINT(23.72193396 37.97516409)"	"1. High confidence"																					
59	"Stoa Poikilè"	"Stoa Poikilè"	édifice	Greece	"POINT(23.7226169 37.9764143)"	"1. High confidence"																					
65	"Stoa Basileios"	"Stoa Basileios"	édifice	Greece	"POINT(23.7223508 37.9761277)"	"1. High confidence"																					
66	"Athéna Parthénos"	"Athéna Parthénos"		Greece	"POINT(23.72570783 37.97165423)"	"1. High confidence"																					
